,rps,p95,http_5xx_rate,cpu_sat
rps,0.0,1.2353515139528627e-09,2.8528439501882307e-10,0.00022639474057558262
p95,1.2353515139528627e-09,0.0,1.5009005400794036e-14,3.629313409688455e-11
http_5xx_rate,2.8528439501882307e-10,1.5009005400794253e-14,0.0,7.0981887553587544e-12
cpu_sat,0.00022639474057558262,3.6293134096884283e-11,7.0981887553587544e-12,0.0
