"timestamp","value"
1763840043,"39.50057762374478"
1763840048,"39.50057762374478"
1763840053,"78.33159263127487"
1763840058,"78.33159263127486"
1763840063,"78.33159263127486"
1763840068,"195.40434231871822"
1763840073,"195.4043423187182"
1763840078,"195.4043423187182"
1763840083,"312.8612074330933"
1763840088,"312.8612074330933"
1763840093,"312.8612074330933"
1763840098,"391.18647081046254"
1763840103,"391.1864708104624"
1763840108,"391.1864708104624"
1763840113,"401.6132974822782"
1763840118,"401.61329748227814"
1763840123,"401.61329748227814"
1763840128,"434.3111111111111"
1763840133,"434.3111111111111"
1763840138,"434.3111111111111"
1763840143,"467.5333333333333"
1763840148,"467.5333333333333"
1763840153,"467.5333333333333"
1763840158,"489.7886619702661"
1763840163,"489.788661970266"
1763840168,"489.788661970266"
1763840173,"487.59999999999997"
1763840178,"487.59999999999997"
1763840183,"487.59999999999997"
1763840188,"481.2576380402177"
1763840193,"481.25763804021767"
1763840198,"481.25763804021767"
1763840203,"474.03391035754765"
1763840208,"474.0339103575476"
1763840213,"474.0339103575476"
1763840218,"476.17777777777775"
1763840223,"476.17777777777775"
1763840228,"476.17777777777775"
1763840233,"492.59934216374785"
1763840238,"492.59934216374785"
1763840243,"492.59934216374785"
1763840248,"535.6222222222221"
1763840253,"535.6222222222221"
1763840258,"535.6222222222221"
1763840263,"580.1333333333332"
1763840268,"580.1333333333332"
1763840273,"580.1333333333332"
1763840278,"623.9777777777778"
1763840283,"623.9777777777778"
1763840288,"623.9777777777778"
1763840293,"652.6666666666666"
1763840298,"652.6666666666666"
1763840303,"652.6666666666666"
1763840308,"680.7040156447922"
1763840313,"680.7040156447921"
1763840318,"680.7040156447921"
1763840323,"664.9777777777776"
1763840328,"664.9777777777776"
1763840333,"664.9777777777776"
1763840338,"669.8888888888888"
1763840343,"669.8888888888888"
1763840348,"669.8888888888888"
1763840353,"685.1847736716962"
1763840358,"685.1847736716961"
1763840363,"685.1847736716961"
1763840368,"588.5647322222222"
1763840373,"641.801196263178"
1763840378,"641.801196263178"
1763840383,"656.3034734105204"
1763840388,"656.3034734105203"
1763840393,"656.3034734105203"
1763840398,"697.2154936776374"
1763840403,"697.2154936776373"
1763840408,"697.2154936776373"
1763840413,"704.7869950567914"
1763840418,"837.2656835791053"
1763840423,"837.2656835791053"
1763840428,"850.3908380294492"
1763840433,"863.7333333333332"
1763840438,"863.7333333333332"
1763840443,"887.2025066109643"
1763840448,"887.2025066109642"
1763840453,"887.2025066109642"
1763840458,"928.2444444444443"
1763840463,"928.2444444444443"
1763840468,"928.2444444444443"
1763840473,"949.3789026910514"
1763840478,"949.3789026910513"
1763840483,"949.3789026910513"
1763840488,"954.287873063846"
1763840493,"954.2878730638458"
1763840498,"954.2878730638458"
1763840503,"988.4666666666666"
1763840508,"988.4666666666666"
1763840513,"988.4666666666666"
1763840518,"1029.0895353230073"
1763840523,"1029.089535323007"
1763840528,"1029.089535323007"
1763840533,"975.8449812226396"
1763840538,"975.8449812226395"
1763840543,"975.8449812226395"
1763840548,"634.0569244784144"
1763840553,"634.0569244784144"
1763840558,"634.0569244784144"
1763840563,"287.2602831048199"
1763840568,"287.2602831048199"
1763840573,"287.2602831048199"
1763840578,"30.000666681481814"
1763840583,"30.00066668148181"
1763840588,"30.00066668148181"
1763840593,"30.559630172911948"
1763840598,"30.559630172911948"
1763840603,"30.559630172911948"
1763840608,"33.888888888888886"
1763840613,"33.888888888888886"
1763840618,"33.888888888888886"
1763840623,"37.222222222222214"
1763840628,"37.222222222222214"
1763840633,"37.222222222222214"
1763840638,"40.00088890864242"
1763840643,"40.000888908642416"
1763840648,"40.000888908642416"
1763840653,"40.00088890864242"
1763840658,"40.000888908642416"
1763840663,"40.000888908642416"
1763840668,"39.99911113086376"
1763840673,"39.99911113086375"
1763840678,"39.99911113086375"
1763840683,"39.99911113086376"
1763840688,"39.99911113086375"
1763840693,"39.99911113086375"
1763840698,"39.99999999999999"
1763840703,"39.99999999999999"
1763840708,"39.99999999999999"
1763840713,"39.99999999999999"
1763840718,"39.99999999999999"
1763840723,"39.99999999999999"
1763840728,"39.99999999999999"
1763840733,"39.99999999999999"
1763840738,"39.99999999999999"
1763840743,"39.99999999999999"
1763840748,"39.99999999999999"
1763840753,"39.99999999999999"
1763840758,"39.99999999999999"
1763840763,"39.99999999999999"
1763840768,"39.99999999999999"
1763840773,"39.99999999999999"
1763840778,"39.99999999999999"
1763840783,"39.99999999999999"
1763840788,"39.99999999999999"
1763840793,"39.99999999999999"
1763840798,"39.99999999999999"
1763840803,"39.822222222222216"
1763840808,"39.822222222222216"
1763840813,"39.822222222222216"
1763840818,"39.68977088379742"
1763840823,"39.689770883797415"
1763840828,"39.689770883797415"
1763840833,"39.64444444444444"
1763840838,"39.64444444444444"
1763840843,"39.64444444444444"
1763840848,"39.62222222222222"
1763840853,"39.62222222222222"
1763840858,"39.62222222222222"
1763840863,"39.75555555555555"
1763840868,"39.75555555555555"
1763840873,"39.75555555555555"
1763840878,"39.79911557520944"
1763840883,"39.799115575209434"
1763840888,"39.799115575209434"
1763840893,"40.00088890864242"
1763840898,"40.000888908642416"
1763840903,"40.000888908642416"
1763840908,"39.99999999999999"
1763840913,"39.99999999999999"
1763840918,"39.99999999999999"
1763840923,"39.99999999999999"
1763840928,"39.99999999999999"
1763840933,"39.99999999999999"
1763840938,"39.99999999999999"
1763840943,"39.99999999999999"
1763840948,"39.99999999999999"
1763840953,"39.99911113086376"
1763840958,"39.99911113086375"
1763840963,"39.99911113086375"
1763840968,"40.00088890864242"
1763840973,"40.000888908642416"
1763840978,"40.000888908642416"
1763840983,"39.99999999999999"
1763840988,"39.99999999999999"
1763840993,"39.99999999999999"
1763840998,"39.99999999999999"
1763841003,"39.99999999999999"
1763841008,"39.99999999999999"
1763841013,"39.99911113086376"
1763841018,"39.99911113086375"
1763841023,"39.99911113086375"
1763841028,"39.99911113086376"
1763841033,"39.99911113086375"
1763841038,"39.99911113086375"
1763841043,"40.00088890864242"
1763841048,"40.000888908642416"
1763841053,"40.000888908642416"
1763841058,"40.00088890864242"
1763841063,"40.000888908642416"
1763841068,"40.000888908642416"
1763841073,"39.99999999999999"
1763841078,"39.99999999999999"
1763841083,"39.99999999999999"
1763841088,"39.99999999999999"
1763841093,"39.99999999999999"
1763841098,"39.99999999999999"
1763841103,"39.99999999999999"
1763841108,"39.99999999999999"
1763841113,"39.99999999999999"
1763841118,"39.99999999999999"
1763841123,"39.99999999999999"
1763841128,"39.99999999999999"
1763841133,"39.99911113086376"
1763841138,"39.99911113086375"
1763841143,"39.99911113086375"
1763841148,"39.79911557520944"
1763841153,"39.799115575209434"
1763841158,"39.799115575209434"
1763841163,"39.4453210071335"
1763841168,"39.445321007133494"
1763841173,"39.445321007133494"
1763841178,"39.44444444444444"
1763841183,"39.44444444444444"
1763841188,"39.44444444444444"
1763841193,"39.64444444444444"
1763841198,"39.64444444444444"
1763841203,"39.64444444444444"
1763841208,"39.99999999999999"
1763841213,"39.99999999999999"
1763841218,"39.99999999999999"
1763841223,"40.00088890864242"
1763841228,"40.000888908642416"
1763841233,"40.000888908642416"
1763841238,"40.00088890864242"
1763841243,"40.000888908642416"
1763841248,"40.000888908642416"
1763841253,"39.99911113086376"
1763841258,"39.99911113086375"
1763841263,"39.99911113086375"
1763841268,"39.99911113086376"
1763841273,"39.99911113086375"
1763841278,"39.99911113086375"
1763841283,"39.99911113086376"
1763841288,"39.99911113086375"
1763841293,"39.99911113086375"
1763841298,"39.99999999999999"
1763841303,"39.99999999999999"
1763841308,"39.99999999999999"
1763841313,"39.99999999999999"
1763841318,"39.99999999999999"
1763841323,"39.99999999999999"
1763841328,"39.99999999999999"
1763841333,"39.99999999999999"
1763841338,"39.99999999999999"
1763841343,"40.00088890864242"
1763841348,"40.000888908642416"
1763841353,"40.000888908642416"
1763841358,"39.99999999999999"
1763841363,"39.99999999999999"
1763841368,"39.99999999999999"
1763841373,"39.99999999999999"
1763841378,"39.99999999999999"
1763841383,"39.99999999999999"
1763841388,"39.99911113086376"
1763841393,"39.99911113086375"
1763841398,"39.99911113086375"
1763841403,"39.99999999999999"
1763841408,"39.99999999999999"
1763841413,"39.99999999999999"
1763841418,"40.00088890864242"
1763841423,"40.000888908642416"
1763841428,"40.000888908642416"
1763841433,"40.00088890864242"
1763841438,"40.000888908642416"
1763841443,"40.000888908642416"
1763841448,"40.00088890864242"
1763841453,"40.000888908642416"
1763841458,"40.000888908642416"
