trial,target_rps,concurrency,measured_rps,p95,http_5xx_rate,cpu_sat,cpu_limit,p_auto_scale,result
baseline,0,1,0.0,0.0,0.0,0.0030908225487459853,0.5,0.003098288520154664,baseline
1,100,25,93.30168446915276,0.00095,0.0,1.104365806971629,0.5,0.3199988420428344,fail_probability
2,300,50,175.95187788366178,0.0009501164215686273,0.0,1.936815697721673,0.5,0.9601654681922158,pass
2-confirm,300,50,129.71062894572407,0.0009503157195081424,0.0,1.6993037580639925,0.5,0.8660748459815734,fail_probability
3,500,75,132.03160319476436,0.0009504649265905384,0.0,1.883974097815816,0.5,0.9311024793126991,pass

