"timestamp","value"
1777198076,"0"
1777198091,"0"
1777198106,"0"
1777198121,"0"
1777198136,"0"
1777198151,"0"
1777198166,"0"
1777198181,"0"
1777198196,"0"
1777198211,"0"
1777198226,"0"
1777198241,"0"
1777198256,"0"
1777198271,"0"
1777198286,"0"
1777198301,"0"
1777198316,"0"
1777198331,"0"
1777198346,"0"
1777198361,"0"
1777198376,"0"
1777198391,"700"
1777198406,"700"
1777198421,"700"
1777198436,"700"
1777198451,"700"
1777198466,"700"
1777198481,"700"
1777198496,"700"
1777198511,"700"
1777198526,"700"
1777198541,"700"
1777198556,"700"
1777198571,"700"
1777198586,"700"
1777198601,"700"
1777198616,"700"
1777198631,"700"
1777198646,"700"
1777198661,"700"
1777198676,"700"
1777198691,"0"
1777198706,"0"
1777198721,"0"
1777198736,"0"
1777198751,"0"
1777198766,"0"
1777198781,"0"
1777198796,"0"
1777198811,"0"
1777198826,"0"
1777198841,"0"
1777198856,"0"
1777198871,"0"
1777198886,"0"
1777198901,"0"
1777198916,"0"
1777198931,"0"
1777198946,"0"
1777198961,"0"
1777198976,"0"
