"timestamp","value"
1777198406,"9.840416666666666"
1777198421,"15.195763888888887"
1777198436,"20.61484259259259"
1777198451,"21.333333333333332"
1777198466,"21.266666666666666"
1777198481,"21.111111111111107"
1777198496,"21.288888888888888"
1777198511,"21.288888888888888"
1777198526,"21.266666666666666"
1777198541,"21.111111111111107"
1777198556,"21.066666666666663"
1777198571,"21.04444444444444"
1777198586,"21.22222222222222"
1777198601,"21.333333333333332"
1777198616,"21.333333333333332"
1777198631,"21.199999999999996"
1777198646,"21.266666666666666"
1777198661,"21.333333333333332"
1777198676,"21.288888888888888"
1777198691,"18.755555555555553"
1777198706,"11.688888888888888"
1777198721,"4.644444444444444"
1777198736,"0"
1777198751,"0"
1777198766,"0"
1777198781,"0"
1777198796,"0"
1777198811,"0"
1777198826,"0"
1777198841,"0"
1777198856,"0"
1777198871,"0"
1777198886,"0"
1777198901,"0"
1777198916,"0"
1777198931,"0"
1777198946,"0"
1777198961,"0"
1777198976,"0"
