window_start,window_end,experiment_id,phase,rps,p95,http_5xx_rate,cpu_sat
1777198076,1777198136,exp2_restart_20260426_120745,healthy_baseline,30.0,0.00095,0.0,0.3808916876743575
1777198091,1777198151,exp2_restart_20260426_120745,healthy_baseline,29.93333333333333,0.00095,0.0,0.3086999455008771
1777198106,1777198166,exp2_restart_20260426_120745,healthy_baseline,28.666666666666664,0.00095,0.0,0.375181239281674
1777198121,1777198181,exp2_restart_20260426_120745,healthy_baseline,28.577777777777776,0.00095,0.0,0.3993234649495051
1777198136,1777198196,exp2_restart_20260426_120745,healthy_baseline,28.488888888888887,0.00095,0.0,0.4086352451227583
1777198151,1777198211,exp2_restart_20260426_120745,healthy_baseline,29.688888888888886,0.00095,0.0,0.3969531034884177
1777198166,1777198226,exp2_restart_20260426_120745,healthy_baseline,29.77777777777777,0.00095,0.0,0.3826307516505479
1777198181,1777198241,exp2_restart_20260426_120745,healthy_baseline,29.911111111111108,0.0009499999999999,0.0,0.367719143059803
1777198196,1777198256,exp2_restart_20260426_120745,healthy_baseline,29.97777777777777,0.00095,0.0,0.363990428282442
1777198211,1777198271,exp2_restart_20260426_120745,healthy_baseline,29.97777777777777,0.00095,0.0,0.3570648704661921
1777198226,1777198286,exp2_restart_20260426_120745,healthy_baseline,30.0,0.00095,0.0,0.3443465910576204
1777198241,1777198301,exp2_restart_20260426_120745,healthy_baseline,30.0,0.00095,0.0,0.332961423634328
1777198256,1777198316,exp2_restart_20260426_120745,healthy_baseline,30.0,0.00095,0.0,0.3243076300515017
1777198271,1777198331,exp2_restart_20260426_120745,healthy_baseline,30.0,0.00095,0.0,0.3463286394321093
1777198286,1777198346,exp2_restart_20260426_120745,healthy_baseline,29.911111111111108,0.0009499999999999,0.0,0.3586260680175328
1777198301,1777198361,exp2_restart_20260426_120745,healthy_baseline,29.819571593636127,0.00095,0.0,0.395367808052428
1777198316,1777198376,exp2_restart_20260426_120745,healthy_baseline,29.8,0.00095,0.0,0.3871975105527287
1777198391,1777198451,exp2_restart_20260426_120745,error_latency_fault,21.33333333333333,0.975,21.33333333333333,0.2779225032128097
1777198406,1777198466,exp2_restart_20260426_120745,error_latency_fault,21.266666666666666,0.975,21.266666666666666,0.2486393861451993
1777198421,1777198481,exp2_restart_20260426_120745,error_latency_fault,21.111111111111107,0.975,21.111111111111107,0.2866680291500458
1777198436,1777198496,exp2_restart_20260426_120745,error_latency_fault,21.288888888888888,0.975,21.288888888888888,0.2905631266827683
1777198451,1777198511,exp2_restart_20260426_120745,error_latency_fault,21.288888888888888,0.975,21.288888888888888,0.2523347831269095
1777198466,1777198526,exp2_restart_20260426_120745,error_latency_fault,21.266666666666666,0.975,21.266666666666666,0.2700096581933964
1777198481,1777198541,exp2_restart_20260426_120745,error_latency_fault,21.111111111111107,0.978525980911983,21.111111111111107,0.2654468091486963
1777198496,1777198556,exp2_restart_20260426_120745,error_latency_fault,21.066666666666663,0.9785334750265676,21.066666666666663,0.2539093713830822
1777198511,1777198571,exp2_restart_20260426_120745,error_latency_fault,21.04444444444444,0.9785372340425532,21.04444444444444,0.2817783500936036
1777198526,1777198586,exp2_restart_20260426_120745,error_latency_fault,21.22222222222222,0.975,21.22222222222222,0.2842936290354213
1777198541,1777198601,exp2_restart_20260426_120745,error_latency_fault,21.33333333333333,0.975,21.33333333333333,0.2541653329547502
1777198556,1777198616,exp2_restart_20260426_120745,error_latency_fault,21.33333333333333,0.975,21.33333333333333,0.2702936504340557
